standardized_name
Natrixam 1.5/5mg Tablets 30s
Instaclop 75mg Tablets 30s
Glysit 5mg Tablets 28s
Lantus Insulin Glargine Pen 3ml
Humalog KwikPen Insulin Lispro 3ml
Liquid Paraffin 100ml
Ontel AM 80/10mg Tablets 30s
Energizer AAA Batteries 4s
First Aid Box White Empty
Biogras 10cm x 10cm Dressing 10s
Ebastel 10mg Tablets 20s
Rewalk Plus Tablets 10s
Enteromint Tablets 10s
HCQS 200mg Tablets 30s
Digital Fridge Thermometer 1s
Cooler Box 4.5 Litres 1s
Myocor 325/250mg Tablets 20s
Jamieson Melatonin/Magnesium Tablets 60s
Spironolactone 25mg Tablets 50s
Irovel 150mg Tablets 30s
Metoz 5mg Tablets 30s
Tamsolin 0.4mg Capsules 10s
Ezechol 10mg Tablets 28s
Glentel AMH 80mg Tablets 30s
Elyvate Cream 15 g
Monta Plus Tablets 10s
Flucaz 200mg Tablets 10s
Montechest 10/5mg Tablets 30s
